Index,Symbol
Nifty 50,INFY
Nifty 50,BPCL
Nifty 50,TCS
Nifty 50,IOC
Nifty 50,INDUSINDBK
Nifty 50,WIPRO
Nifty 50,HDFCBANK
Nifty 50,ONGC
Nifty 50,HINDALCO
Nifty 50,SHREECEM
Nifty 50,ZEEL
Nifty 50,HCLTECH
Nifty 50,EICHERMOT
Nifty 50,GAIL
Nifty 50,RELIANCE
Nifty 50,ULTRACEMCO
Nifty 50,LT
Nifty 50,BAJAJ-AUTO
Nifty 50,GRASIM
Nifty 50,COALINDIA
Nifty 50,NTPC
Nifty 50,AXISBANK
Nifty 50,TECHM
Nifty 50,TATASTEEL
Nifty 50,ASIANPAINT
Nifty 50,BHARTIARTL
Nifty 50,BRITANNIA
Nifty 50,CIPLA
Nifty 50,ICICIBANK
Nifty 50,ADANIPORTS
Nifty 50,DRREDDY
Nifty 50,POWERGRID
Nifty 50,JSWSTEEL
Nifty 50,MARUTI
Nifty 50,SBIN
Nifty 50,HDFC
Nifty 50,UPL
Nifty 50,NESTLEIND
Nifty 50,HEROMOTOCO
Nifty 50,BAJAJFINSV
Nifty 50,TITAN
Nifty 50,HDFCLIFE
Nifty 50,HINDUNILVR
Nifty 50,M&M
Nifty 50,SUNPHARMA
Nifty 50,TATAMOTORS
Nifty 50,KOTAKBANK
Nifty 50,INFRATEL
Nifty 50,ITC
Nifty 50,BAJFINANCE
Nifty Next 50,HINDZINC
Nifty Next 50,HINDPETRO
Nifty Next 50,ADANITRANS
Nifty Next 50,ACC
Nifty Next 50,OFSS
Nifty Next 50,NHPC
Nifty Next 50,PGHH
Nifty Next 50,SRTRANSFIN
Nifty Next 50,PETRONET
Nifty Next 50,CONCOR
Nifty Next 50,BAJAJHLDNG
Nifty Next 50,HDFCAMC
Nifty Next 50,GODREJCP
Nifty Next 50,MARICO
Nifty Next 50,BANDHANBNK
Nifty Next 50,DIVISLAB
Nifty Next 50,AMBUJACEM
Nifty Next 50,HAVELLS
Nifty Next 50,SBICARD
Nifty Next 50,PIDILITIND
Nifty Next 50,SIEMENS
Nifty Next 50,DABUR
Nifty Next 50,CADILAHC
Nifty Next 50,PEL
Nifty Next 50,NAUKRI
Nifty Next 50,PFC
Nifty Next 50,MOTHERSUMI
Nifty Next 50,SBILIFE
Nifty Next 50,COLPAL
Nifty Next 50,NMDC
Nifty Next 50,DMART
Nifty Next 50,BANKBARODA
Nifty Next 50,PAGEIND
Nifty Next 50,GICRE
Nifty Next 50,IGL
Nifty Next 50,BIOCON
Nifty Next 50,LUPIN
Nifty Next 50,AUROPHARMA
Nifty Next 50,ICICIGI
Nifty Next 50,TORNTPHARM
Nifty Next 50,ICICIPRULI
Nifty Next 50,PNB
Nifty Next 50,MCDOWELL-N
Nifty Next 50,MUTHOOTFIN
Nifty Next 50,INDIGO
Nifty Next 50,DLF
Nifty Next 50,BERGEPAINT
Nifty Next 50,BOSCHLTD
Nifty Next 50,ABBOTINDIA
Nifty Next 50,UBL
Nifty Midcap 50,TATAPOWER
Nifty Midcap 50,IDEA
Nifty Midcap 50,BANKINDIA
Nifty Midcap 50,OIL
Nifty Midcap 50,MINDTREE
Nifty Midcap 50,JINDALSTEL
Nifty Midcap 50,FEDERALBNK
Nifty Midcap 50,MRF
Nifty Midcap 50,BEL
Nifty Midcap 50,GLENMARK
Nifty Midcap 50,CASTROLIND
Nifty Midcap 50,CUMMINSIND
Nifty Midcap 50,RAMCOCEM
Nifty Midcap 50,SUNTV
Nifty Midcap 50,AMARAJABAT
Nifty Midcap 50,UNIONBANK
Nifty Midcap 50,LICHSGFIN
Nifty Midcap 50,HEXAWARE
Nifty Midcap 50,MGL
Nifty Midcap 50,TATACONSUM
Nifty Midcap 50,BATAINDIA
Nifty Midcap 50,BALKRISIND
Nifty Midcap 50,IBULHSGFIN
Nifty Midcap 50,RBLBANK
Nifty Midcap 50,ADANIPOWER
Nifty Midcap 50,IDFCFIRSTB
Nifty Midcap 50,CANBK
Nifty Midcap 50,GMRINFRA
Nifty Midcap 50,TVSMOTOR
Nifty Midcap 50,SRF
Nifty Midcap 50,TORNTPOWER
Nifty Midcap 50,JUBLFOOD
Nifty Midcap 50,EXIDEIND
Nifty Midcap 50,SAIL
Nifty Midcap 50,APOLLOTYRE
Nifty Midcap 50,CESC
Nifty Midcap 50,MANAPPURAM
Nifty Midcap 50,M&MFIN
Nifty Midcap 50,ESCORTS
Nifty Midcap 50,VOLTAS
Nifty Midcap 50,BHARATFORG
Nifty Midcap 50,GODREJPROP
Nifty Midcap 50,RECLTD
Nifty Midcap 50,NATIONALUM
Nifty Midcap 50,BHEL
Nifty Midcap 50,CHOLAFIN
