Symbol,Date,Multiplier
20MICRONS,20130128,2
3IINFOTECH,20070827,2
8KMILES,20120622,1.67
8KMILES,20161010,2.66
AARTIDRUGS,19960513,1.5
AARTIDRUGS,20150324,2
AARTIIND,20050209,3
AARTIIND,20060113,2
ABAN,20050504,5
ABB,19961216,1.33
ABB,20070628,5
ABBOTINDIA,19980817,2
ABIRLANUVO,19970804,1.5
ABMINTLTD,20170315,6
ACC,19960610,1.6
ACE,20080313,5
ADANIENT,19961007,2
ADANIENT,19991101,2
ADANIENT,20040728,10
ADANIENT,20091210,2
ADANIPORTS,20100923,5
ADORWELD,19961007,1.5
ADSL,20091111,2
ADVANIHOTR,20071022,5
ADVANTA,20130705,5
ADVENZYMES,20170525,5
AEGISCHEM,20100818,1.67
AEGISCHEM,20150916,10
AFTEK,20040120,5
AFTEK,20050127,1.5
AGCNET,20121219,2
AHLUCONT,20070914,5
AIAENG,20081013,5
AICHAMP,20080911,2
AJANTPHARM,20120809,2
AJANTPHARM,20130917,1.5
AJANTPHARM,20150320,2.5
ALANKIT,20111010,5
ALANKIT,20150923,5
ALANKIT,20161019,2
ALANKIT,20161215,2
ALCHEM,20051026,10
ALCHEM,20070308,2
ALCHEM,20070705,0.1
ALEMBICLTD,20040325,3
ALEMBICLTD,20060926,5
ALEMBICLTD,20130927,2
ALICON,20061204,2
ALKYLAMINE,19971027,2
ALKYLAMINE,20140908,2
ALLCARGO,20091119,5
ALLCARGO,20151230,2
ALPINEHOU,20151006,2
ALPSINDUS,20060922,2
AMARAJABAT,20070919,5
AMARAJABAT,20081014,1.5
AMARAJABAT,20120925,2
AMBUJACEM,19991220,2
AMBUJACEM,20050620,7.5
AMJLAND,19950217,2
AMJLAND,20090323,5
AMRUTANJAN,20011029,2
AMRUTANJAN,20121025,5
AMRUTANJAN,20180413,2
AMTEKAUTO,20021204,2
AMTEKAUTO,20041005,5
ANANTRAJ,20071008,5
ANDRAVALLY,19950523,10
ANSALAPI,20050330,1.5
ANSALAPI,20060510,2
ANSALAPI,20070423,2
ANSALHSG,20130410,3
ANTGRAPHIC,20060106,10
APARINDS,20070111,1.33
APCOTEXIND,20130814,2
APCOTEXIND,20150923,2
APLAPOLLO,20070524,2
APOLLOHOSP,20100902,2
APOLLOTYRE,20070817,10
AQUA,20101001,10
ARCHIES,19990824,2
ARCHIES,20101102,5
ARCOTECH,20090925,0.2
ARCOTECH,20170622,5
ARL,20120515,0.1
AROGRANITE,20041028,1.5
AROGRANITE,20080926,1.5
AROGRANITE,20131030,1.5
ARSHIYA,20061120,2.5
ARSHIYA,20071012,5
ARVINDREM,20020923,35
ARVINDREM,20120514,0.1
ASAHIINDIA,19971027,2
ASAHIINDIA,20010814,2
ASAHIINDIA,20021008,10
ASAHIINDIA,20050901,2
ASHAPURMIN,19951023,2
ASHAPURMIN,20060323,5
ASHAPURMIN,20071018,2
ASHCO,20100923,0.1
ASHCONIUL,20051020,4
ASHCONIUL,20091208,10
ASHCONIUL,20100921,0.1
ASHIANA,20080221,3.5
ASHIANA,20131024,5
ASHOKA,20130703,3
ASHOKLEY,20040628,10
ASHOKLEY,20110802,2
ASIANELEC,19960902,2
ASIANELEC,20071022,2
ASIANHOTNR,19961216,1.4
ASIANPAINT,19951108,2
ASIANPAINT,20000802,1.6
ASIANPAINT,20030822,1.5
ASIANPAINT,20130730,10
ASILIND,20121017,1.1
ASOCALCHOL,20160310,2
ASOCSTONE,20100218,2
ASOCSTONE,20151126,5
ASOCSTONE,20160929,1.25
ASSAMCO,20051028,10
ASTRAL,20100915,2
ASTRAL,20130905,2.5
ASTRAL,20140925,2
ASTRAMICRO,20051007,10
ASTRAMICRO,20101230,1.5
ASTRAZEN,19951113,2
ASTRAZEN,20060615,5
ATCOM,19960122,2
ATLANTA,20101108,5
ATLASCOPCO,20060626,2
ATLASCYCLE,20171030,2
ATNINTER,19980413,2.5
ATULAUTO,20120703,1.5
ATULAUTO,20140912,2
AUROPHARMA,19981026,2
AUROPHARMA,20000307,2
AUROPHARMA,20031023,2
AUROPHARMA,20110210,5
AUROPHARMA,20150720,2
AUSTRAL,20090807,10
AUTORIDFIN,19960101,1.5
AVANTIFEED,20151126,5
AVTNPL,20061012,2
AVTNPL,20120607,10
AVTNPL,20130926,2
AXISBANK,20140728,5
BAJAJAUTO,20100908,2
BAJAJCORP,20110505,5
BAJAJELEC,19950120,10
BAJAJELEC,19971013,1.5
BAJAJELEC,20070828,2
BAJAJELEC,20100128,5
BAJAJHIND,20040428,10
BAJAJHLDNG,19970915,1.5
BAJFINANCE,20160908,10
BALAJIDIST,19990712,2
BALAJIIND,19990413,1.5
BALAJITELE,20020923,5
BALAMINES,20070305,2
BALAMINES,20101118,5
BALKRISIND,20040109,2
BALKRISIND,20050819,1.5
BALKRISIND,20101220,5
BALKRISIND,20171221,2
BALMLAWRIE,20130523,1.75
BALMLAWRIE,20161226,4
BALRAMCHIN,19960430,2.5
BALRAMCHIN,20050323,10
BANARBEADS,19980309,1.1
BANCOINDIA,19950209,1.5
BANCOINDIA,19991122,2
BANCOINDIA,20070830,2
BANCOINDIA,20071123,5
BANKBARODA,20150122,5
BANKMADURA,19960130,4
BANKRAJAS,20070816,1.25
BANKRAJAS,20080918,1.2
BANSWRAS,20060817,1.5
BARODARAYN,19970213,10
BASF,19980921,1.5
BATAINDIA,20151007,2
BATLIBOI,20070926,2
BAYERCROP,20031124,10
BBL,19951204,2
BBL,20050909,10
BBTC,19950911,2
BBTC,19951116,10
BBTC,20121108,5
BEARDSELL,20170504,6
BEL,20150914,3
BEL,20170316,10
BEL,20170928,1.1
BELLARYSTL,20051202,10
BEPL,20040216,10
BERGEPAINT,19981019,2
BERGEPAINT,20040324,1.5
BERGEPAINT,20040824,5
BERGEPAINT,20061012,1.6
BERGEPAINT,20150108,2
BERGEPAINT,20160715,1.4
BETANAPTOL,19950217,1.5
BHAGERIA,20161026,2
BHAGYANGR,20050224,5
BHAGYANGR,20060907,2
BHANDARI,20110224,1.35
BHANDARI,20160225,10
BHARATFORG,20050720,5
BHARATFORG,20170928,2
BHARATHOT,19961125,1.33
BHARTIARTL,20090724,2
BHEL,20070531,2
BHEL,20111003,5
BHEL,20170928,1.5
BHUSANSTL,20100921,5
BILENERGY,20130326,10
BILENERGY,20180111,2
BILPOWER,20121004,2
BINANIIND,19950113,3
BIOCON,20080911,2
BIOCON,20170615,3
BIRLACOT,20091023,10
BIRLACOT,20100929,1.2
BIRLAMONEY,20060712,2
BIRLAMONEY,20080711,10
BIRLAPOWER,20090424,10
BIRLAPOWER,20101020,1.2
BLBLIMITED,20000502,10
BLISSGVS,20050928,1.4
BLISSGVS,20080311,10
BLISSGVS,20080926,1.6
BLKASHYAP,20071022,2
BLKASHYAP,20100929,10
BLOWPLAST,19960930,2
BLS,20170426,10
BLUECHIP,20001120,1.4
BLUECHIP,20020228,5
BLUEDART,20010813,2
BLUESTARCO,19950911,2
BLUESTARCO,20060920,5
BODALCHEM,20100610,5
BOMDYEING,20121030,5
BOROSIL,20170914,10
BOSCHCHASY,20070606,2
BOSCHLTD,20040708,10
BPCL,20001218,2
BPCL,20120713,2
BPCL,20160713,2
BPCL,20170713,1.5
BRITANNIA,19990927,1.5
BRITANNIA,20100908,5
BSELINFRA,20000403,2
BSELINFRA,20040609,1.8
BSLIMITED,20130930,2
BSLIMITED,20140121,10
BUWALKASTL,20110721,2
BYKE,20141009,2
CABOTINDIA,19961210,10
CADBURY,19960708,1.6
CADBURY,20000619,1.5
CADILAHC,20060830,2
CADILAHC,20100405,1.5
CADILAHC,20151006,5
CAMLINFINE,20120215,5
CAMLINFINE,20140904,2
CANFINHOME,20171012,5
CAPLIPOINT,20161019,5
CAPRIHANS,19961104,1.4
CARBORUNIV,20040816,5
CARBORUNIV,20050623,2
CARBORUNIV,20111005,2
CASTEXTECH,20050908,5
CASTEXTECH,20111121,2
CASTROLIND,19950505,1.6
CASTROLIND,19990517,2
CASTROLIND,20100409,2
CASTROLIND,20120904,2
CASTROLIND,20171221,2
CCCL,20100210,5
CCHHL,20081015,5
CCL,20130819,10
CENTRUM,20010327,3
CENTRUM,20130703,60
CENTURYPLY,20080424,10
CENTURYTEX,19970901,2
CERA,20100902,2
CGCL,20161123,5
CGPOWER,20060810,5
CGPOWER,20061214,1.4
CGPOWER,20100308,1.75
CHEMPLAST,19960923,1.67
CHEMPLAST,20060308,10
CHETTINAD,19951204,2
CHROMATIC,20100322,3.5
CILNOVA,20131206,0.5
CINEVISTA,20080122,5
CIPLA,19991018,3
CIPLA,20040511,5
CIPLA,20060424,2.5
CITURGIBIO,20180426,5
CLARIANT,19990920,1.5
CLASSIC,20021219,2
CLASSIC,20080111,5
CMAHENDRA,20150618,2
CMC,20110608,2
CNOVAPETRO,20131205,0.5
COCHINREFN,20001113,2
COLPAL,20150923,2
COMPINFO,20150526,1.6
COMPINFO,20170216,5
COMPUSOFT,20071008,5
COMPUSOFT,20081224,2
COMPUSOFT,20101019,1.5
COMPUTECH,20000515,2
CONCOR,20080416,2
CONCOR,20130906,1.5
CONCOR,20170405,1.25
CONTROLPR,20160111,1.5
CORALFINAC,20170803,5
CORALHUB,20110204,0.1
CORALHUB,20090227,10
CORALHUB,20090806,1.5
CORALHUB,20110203,0.1
COREEDUTEC,20050620,13
COREEDUTEC,20060817,3
COREEDUTEC,20070606,5
COROMANDEL,20060102,5
COROMANDEL,20101223,2
CORPBANK,20150122,5
COSMOFILMS,20030320,2
COUNCODOS,20090904,3
COX&KINGS,20110621,2
CRANESSOFT,20051102,10
CREST,20051114,1.5
