Scrip,Symbol,Scrip
ABB India Ltd.,ABB,ABB India Ltd.
Asian Paints Ltd.,ASIANPAINT,Asian Paints Ltd.
East India Hotels Ltd,EIHOTEL,East India Hotels Ltd
Glaxo (India) Ltd.,GLAXO,Glaxo (India) Ltd.
Mahindra & Mahindra Ltd.,M&M,Mahindra & Mahindra Ltd.
Nestle India Limited,NESTLEIND,Nestle India Limited
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
Hero Honda Motors Limited,HEROMOTOCO,Hero Honda Motors Limited
Apollo Tyres Ltd.,APOLLOTYRE,Apollo Tyres Ltd.
Indian Aluminium Co. Ltd.,INDAL,Indian Aluminium Co. Ltd.
Madras Refineries Ltd.,CHENNPETRO,Madras Refineries Ltd.
Nagarjuna Fertilizers & Chemicals Ltd.,NAGARFERT,Nagarjuna Fertilizers & Chemicals Ltd.
Mahanagar Telephone Nigam Ltd.,MTNL,Mahanagar Telephone Nigam Ltd.
Brooke Bond Lipton India Ltd.,BROOKBOND,Brooke Bond Lipton India Ltd.
Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd.
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Hindustan Petroleum Corporation Ltd.
SCICI Ltd.,SCICI,SCICI Ltd.
Dr. Reddy's Laboratories Ltd.,DRREDDY,Dr. Reddy's Laboratories Ltd.
Bharat Petroleum Corporation Ltd.,BPCL,Bharat Petroleum Corporation Ltd.
Essar Gujarat Ltd.,ESSARGUJ,Essar Gujarat Ltd.
Bank of India,BANKINDIA,Bank of India
Cipla Ltd.,CIPLA,Cipla Ltd.
Infosys Technologies Limited,INFY,Infosys Technologies Limited
NIIT Ltd.,NIITLTD,NIIT Ltd.
Procter & Gamble India Ltd.,PGHH,Procter & Gamble India Ltd.
Smithkline Beecham Consumer Healthcare Ltd.,GSKCONS,Smithkline Beecham Consumer Healthcare Ltd.
Thermax Ltd.,THERMAX,Thermax Ltd.
Andhra Valley Power Supply Co. Ltd.,ANDRAVALLY,Andhra Valley Power Supply Co. Ltd.
Ashok Leyland Ltd.,ASHOKLEY,Ashok Leyland Ltd.
Indo Gulf Corporation Ltd.,INDOGULF,Indo Gulf Corporation Ltd.
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Mangalore Refinery & Petrochemicals Ltd.
Ponds (India) Ltd.,PONDS,Ponds (India) Ltd.
Novartis India Ltd,NOVARTIND,Novartis India Ltd
Reckitt & Colman India Ltd.,RECKCOLMAN,Reckitt & Colman India Ltd.
Arvind Mills Ltd,ARVIND,Arvind Mills Ltd
Great Eastern Shipping Company Limited.,GESHIP,Great Eastern Shipping Company Limited.
Reliance Capital Ltd.,RELCAPITAL,Reliance Capital Ltd.
Britannia Industries Ltd.,BRITANNIA,Britannia Industries Ltd.
Satyam Computer Services Ltd.,SATYAMCOMP,Satyam Computer Services Ltd.
Industrial Finance Corporation Of India Ltd.,IFCI,Industrial Finance Corporation Of India Ltd.
Indian Rayon & Industries Ltd.,ABIRLANUVO,Indian Rayon & Industries Ltd.
Dabur India Ltd.,DABUR,Dabur India Ltd.
TVS Suzuki Ltd.,TVSSUZUKI,TVS Suzuki Ltd.
HCL Infosystems Ltd.,HCL-INSYS,HCL Infosystems Ltd.
Zee Telefilms Ltd,ZEEL,Zee Telefilms Ltd
EIH Ltd.,EIHOTEL,EIH Ltd.
Industrial Development Bank of India Limited,IDBI,Industrial Development Bank of India Limited
Digital Equipment (india) Ltd.,DIGITALEQP,Digital Equipment (india) Ltd.
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Sun Pharmaceutical Industries Ltd.
Wipro Ltd.,WIPRO,Wipro Ltd.
Kochi Refineries Ltd.,COCHINREFN,Kochi Refineries Ltd.
ICICI Bank Ltd.,ICICIBANK,ICICI Bank Ltd.
Reckitt Benckiser (India) Ltd,RECKCOLMAN,Reckitt Benckiser (India) Ltd
Videsh Sanchar Nigam Ltd.,TATACOMM,Videsh Sanchar Nigam Ltd.
ICICI Ltd.,ICICI,ICICI Ltd.
Shipping Corporation of India Ltd.,SCI,Shipping Corporation of India Ltd.
Reliance Petroleum Ltd.,RELPETRO,Reliance Petroleum Ltd.
HCL Technologies Ltd.,HCLTECH,HCL Technologies Ltd.
Gas Authority of India Limited,GAIL,Gas Authority of India Limited
National Aluminium Co. Ltd.,NATIONALUM,National Aluminium Co. Ltd.
Novartis India Ltd.,NOVARTIND,Novartis India Ltd.
Castrol (India) Ltd.,CASTROL,Castrol (India) Ltd.
Steel Authority of India Ltd.,SAIL,Steel Authority of India Ltd.
Bharti Tele-Ventures Ltd.,BHARTIARTL,Bharti Tele-Ventures Ltd.
Maruti Udyog Limited,MARUTI,Maruti Udyog Limited
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.
Oil & Natural Gas Corporation Ltd.,ONGC,Oil & Natural Gas Corporation Ltd.
Digital Globalsoft Ltd.,DIGITALEQP,Digital Globalsoft Ltd.
Punjab National Bank,PNB,Punjab National Bank
Larsen & Toubro Ltd.,LT,Larsen & Toubro Ltd.
Tata Consultancy Services Ltd.,TCS,Tata Consultancy Services Ltd.
Indian Hotels Co. Ltd.,INDHOTEL,Indian Hotels Co. Ltd.
Jet Airways (India) Ltd.,JETAIRWAYS,Jet Airways (India) Ltd.
Colgate Palmolive (I) Ltd,COLGATE,Colgate Palmolive (I) Ltd
Suzlon Energy Ltd.,SUZLON,Suzlon Energy Ltd.
Siemens Ltd.,SIEMENS,Siemens Ltd.
Tata Chemicals Ltd.,TATACHEM,Tata Chemicals Ltd.
Reliance Communications Ltd.,RCOM,Reliance Communications Ltd.
Tata Tea Limited,TATACONSUM,Tata Tea Limited
Sterlite Industries (India) Ltd.,STER,Sterlite Industries (India) Ltd.
Oriental Bank of Commerce,ORIENTBANK,Oriental Bank of Commerce
NTPC Ltd.,NTPC,NTPC Ltd.
Unitech Ltd.,UNITECH,Unitech Ltd.
Indian Petrochemicals Corporation Ltd.,IPCL,Indian Petrochemicals Corporation Ltd.
Idea Cellular Ltd.,IDEA,Idea Cellular Ltd.
Cairn India Ltd.,CAIRN,Cairn India Ltd.
DLF Ltd.,DLF,DLF Ltd.
Power Grid Corporation of India Ltd.,POWERGRID,Power Grid Corporation of India Ltd.
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
Bajaj Auto Ltd,BAJAJ-AUTO,Bajaj Auto Ltd
Reliance Power Ltd.,RPOWER,Reliance Power Ltd.
Axis Bank Ltd.,AXISBANK,Axis Bank Ltd.
Zee Entertainment Enterprises Ltd.,ZEEL,Zee Entertainment Enterprises Ltd.
Jindal Steel & Power Ltd.,JINDALSTEL,Jindal Steel & Power Ltd.
Jaiprakash Associates Ltd.,JPASSOCIAT,Jaiprakash Associates Ltd.
Infrastructure Development Finance Company Limited,IDFC,Infrastructure Development Finance Company Limited
Tata Communications Ltd.,TATACOMM,Tata Communications Ltd.
Kotak Mahindra Bank Ltd.,KOTAKBANK,Kotak Mahindra Bank Ltd.
Grasim Industries Ltd.,GRASIM,Grasim Industries Ltd.
Sesa Goa Limited,VEDL,Sesa Goa Limited
Bajaj Auto Ltd.,BAJAJ-AUTO,Bajaj Auto Ltd.
Coal India Ltd.,COALINDIA,Coal India Ltd.
Bank of Baroda,BANKBARODA,Bank of Baroda
Lupin Ltd.,LUPIN,Lupin Ltd.
UltraTech Cement Ltd.,ULTRACEMCO,UltraTech Cement Ltd.
IndusInd Bank Ltd.,INDUSINDBK,IndusInd Bank Ltd.
NMDC Ltd.,NMDC,NMDC Ltd.
Reliance Infrastructure Ltd.,RELINFRA,Reliance Infrastructure Ltd.
Ranbaxy Laboratories Ltd.,RANBAXY,Ranbaxy Laboratories Ltd.
Tech Mahindra Ltd.,TECHM,Tech Mahindra Ltd.
United Spirits Ltd.,MCDOWELL-N,United Spirits Ltd.
Yes Bank Ltd.,YESBANK,Yes Bank Ltd.
IDFC Ltd,IDFC,IDFC Ltd
Bosch Ltd.,BOSCHLTD,Bosch Ltd.
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
Vedanta Ltd.,VEDL,Vedanta Ltd.
Aurobindo Pharma Ltd.,AUROPHARMA,Aurobindo Pharma Ltd.
Bharti Infratel Ltd.,INFRATEL,Bharti Infratel Ltd.
Eicher Motors Ltd.,EICHERMOT,Eicher Motors Ltd.
Tata Motors Ltd DVR,TATAMTRDVR,Tata Motors Ltd DVR
Indiabulls Housing Finance Ltd.,IBULHSGFIN,Indiabulls Housing Finance Ltd.
Indian Oil Corporation Ltd.,IOC,Indian Oil Corporation Ltd.
ACC Ltd.,ACC,ACC Ltd.
Tata Power Co. Ltd.,TATAPOWER,Tata Power Co. Ltd.
Bajaj Finance Ltd.,BAJFINANCE,Bajaj Finance Ltd.
UPL Ltd.,UPL,UPL Ltd.
Ambuja Cements Ltd.,AMBUJACEM,Ambuja Cements Ltd.
Bajaj Finserv Ltd.,BAJAJFINSV,Bajaj Finserv Ltd.
Titan Company Ltd.,TITAN,Titan Company Ltd.
JSW Steel Ltd.,JSWSTEEL,JSW Steel Ltd.
Nestle India Ltd.,NESTLEIND,Nestle India Ltd.
Shree Cement Ltd.,SHREECEM,Shree Cement Ltd.
HCL Infosystems Ltd,HCL-INSYS,HCL Infosystems Ltd
Himachal Futuristic Communications Ltd,HFCL,Himachal Futuristic Communications Ltd
Digital Equipment (India) Ltd. - Computers - Software,DIGITALEQP,Digital Equipment (India) Ltd. - Computers - Software
 Asian Hotels Ltd. - Hotels,ASIANHOTEL, Asian Hotels Ltd. - Hotels
India Cements Ltd. - Cement & Cement Products,INDIACEM,India Cements Ltd. - Cement & Cement Products
Finolex Cables Ltd. - Cables - Telecom,FINCABLES,Finolex Cables Ltd. - Cables - Telecom
Sterlite Industries (India) Ltd,STERLITE,Sterlite Industries (India) Ltd
Lupin Laboratories Ltd,LUPINLAB,Lupin Laboratories Ltd
Hughes Software Ltd. ,FSS,Hughes Software Ltd. 
Smithkline Beecham Pharmaceuticals Ltd.,SMITHKLPHA,Smithkline Beecham Pharmaceuticals Ltd.
Indo Gulf Corporation Ltd,INDOGULF,Indo Gulf Corporation Ltd
ITC Hotel Ltd.,ITCHOTEL,ITC Hotel Ltd.
Burroughs Welcome (India) Ltd.,BURRWELCOM,Burroughs Welcome (India) Ltd.
GTL Ltd (Global Telesytems Ltd),GTL,GTL Ltd (Global Telesytems Ltd)
Morepen Laboratories Ltd.,MOREPENLAB,Morepen Laboratories Ltd.
ICICI Bank Ltd,ICICIBANK,ICICI Bank Ltd
Aptech Ltd.,APTECHT,Aptech Ltd.
Moser Baer India Ltd.,MOSERBAER,Moser Baer India Ltd.
Polaris Software Lab Ltd.,POLARIS,Polaris Software Lab Ltd.
Philips India Ltd.,PHILIPS,Philips India Ltd.
Cadbury India Ltd.,CADBURY,Cadbury India Ltd.
Bata India Ltd.,BATAINDIA,Bata India Ltd.
Wartsila India Ltd.,WARTSILA,Wartsila India Ltd.
Bombay Dyeing & Mnfg Co. Ltd.,BOMDYEING,Bombay Dyeing & Mnfg Co. Ltd.
United Phosphorous Ltd.,UNITEDPHOS,United Phosphorous Ltd.
SPIC Ltd.,SPIC,SPIC Ltd.
Nagarjuna Fertilisers & Chemicals Ltd.,NAGARFERT,Nagarjuna Fertilisers & Chemicals Ltd.
CMC Ltd.,CMC,CMC Ltd.
Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd.
Wockhardt Ltd.,WOCKPHARMA,Wockhardt Ltd.
Cummins India Ltd.,CUMMINSIND,Cummins India Ltd.
Aventis Pharma Ltd.,SANOFI,Aventis Pharma Ltd.
Hindustan Zinc Ltd.,HINDZINC,Hindustan Zinc Ltd.
Container Corporation of India Ltd.,CONCOR,Container Corporation of India Ltd.
Kotak Mahindra Finance Ltd.,KOTAKBANK,Kotak Mahindra Finance Ltd.
I-Flex Sloution Ltd.,OFSS,I-Flex Sloution Ltd.
Asian Paints India Ltd.,ASIANPAINT,Asian Paints India Ltd.
Punjab National Bank Ltd.,PNB,Punjab National Bank Ltd.
Industrial Development Bank,IDBI,Industrial Development Bank
Abbott India Ltd.,ABBOTINDIA,Abbott India Ltd.
Carrier Aircon Ltd.,CARRIERAIR,Carrier Aircon Ltd.
Tata Infotech Ltd.,TATAUNISYS,Tata Infotech Ltd.
TVS Motor Co Ltd.,TVSMOTOR,TVS Motor Co Ltd.
Silverline Technologies Ltd,SILVERLINE,Silverline Technologies Ltd
Mphasis BFL Ltd.,MPHASIS,Mphasis BFL Ltd.
Hughes Tele.com Ltd.,TTML,Hughes Tele.com Ltd.
Andhra Bank,ANDHRABANK,Andhra Bank
UTI Bank Ltd.,AXISBANK,UTI Bank Ltd.
Gillette India Ltd.,GILLETTE,Gillette India Ltd.
German Remedies Ltd.,GERMANREM,German Remedies Ltd.
Madras Cement Ltd,GERMANREM,Madras Cement Ltd
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDPHAR,Orchid Chemicals & Pharmaceuticals Ltd.
Steel Authority of India Ltd,SAIL,Steel Authority of India Ltd
Global Trust Bank Ltd,GLOBLTRUST,Global Trust Bank Ltd
Pentamedia Graphic Ltd,PENTSFWARE,Pentamedia Graphic Ltd
Nirma Ltd.,NIRMA,Nirma Ltd.
Union Bank of India Ltd.,UNIONBANK,Union Bank of India Ltd.
ICI India Ltd.,AKZOINDIA,ICI India Ltd.
Himachal Futuristic Communication Ltd.,HIMACHLFUT,Himachal Futuristic Communication Ltd.
E.Merck (India) Ltd.,PGHL,E.Merck (India) Ltd.
GTL Ltd.,GTL,GTL Ltd.
Rolta India Ltd.,ROLTA,Rolta India Ltd.
India Cement Ltd.,INDIACEM,India Cement Ltd.
Escorts Ltd.,ESCORTS,Escorts Ltd.
Thomas Cook (India) Ltd.,THOMASCOOK,Thomas Cook (India) Ltd.
Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd.
Titan Industries Ltd.,TITAN,Titan Industries Ltd.
Canara Bank,CANBK,Canara Bank
Motor Industries Ltd.,BOSCHLTD,Motor Industries Ltd.
Bharat Forge Ltd.,BHARATFORG,Bharat Forge Ltd.
Cadila Healthcare Ltd.,CADILAHC,Cadila Healthcare Ltd.
IBP Co. Ltd.,IBP,IBP Co. Ltd.
Jindal Vijaynagar Steel Ltd.,JINDVIJSTL,Jindal Vijaynagar Steel Ltd.
Bongaigaon Refinery & Petrochemicals Ltd.,BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd.
Indian Overseas Bank,IOB,Indian Overseas Bank
Syndicate Bank,SYNDIBANK,Syndicate Bank
Punjab & National Bank,PNB,Punjab & National Bank
Vijaya Bank,VIJAYABANK,Vijaya Bank
Motor Industries Co. Ltd.,BOSCHLTD,Motor Industries Co. Ltd.
Biocon Ltd.,BIOCON,Biocon Ltd.
Patni Computer Systems Ltd.,PATNI,Patni Computer Systems Ltd.
Jindal Vijayanagar Steel Ltd.,JINDVIJSTL,Jindal Vijayanagar Steel Ltd.
Flextronics Software Systems Ltd.,FSS,Flextronics Software Systems Ltd.
Infrastructure Development Finance Co. Ltd.,IDFC,Infrastructure Development Finance Co. Ltd.
Great Eastern Shipping Co. Ltd.,GESHIP,Great Eastern Shipping Co. Ltd.
GMR Infrastructure Ltd.,GMRINFRA,GMR Infrastructure Ltd.
Ingersoll Rand (India) Ltd.,INGERRAND,Ingersoll Rand (India) Ltd.
Aditya Birla Nuvo Ltd.,ABIRLANUVO,Aditya Birla Nuvo Ltd.
Power Finance Corporation Ltd.,PFC,Power Finance Corporation Ltd.
Piramal Healthcare Ltd.,PEL,Piramal Healthcare Ltd.
Punjab Tractors Ltd.,PUNJABTRAC,Punjab Tractors Ltd.
Reliance Natural Resources Ltd.,RNRL,Reliance Natural Resources Ltd.
TVS Motor Company Ltd.,TVSMOTOR,TVS Motor Company Ltd.
Pfizer Ltd.,PFIZER,Pfizer Ltd.
Housing Development and Infrastructure Ltd.,HDIL,Housing Development and Infrastructure Ltd.
Mundra Port and Special Economic Zone Ltd.,ADANIPORTS,Mundra Port and Special Economic Zone Ltd.
Glenmark Pharmaceuticals Ltd.,GLENMARK,Glenmark Pharmaceuticals Ltd.
ING Vysya Bank Ltd.,INGVYSYABK,ING Vysya Bank Ltd.
Sesa Goa Ltd.,VEDL,Sesa Goa Ltd.
Adani Enterprises Ltd.,ADANIENT,Adani Enterprises Ltd.
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd.
Colgate Palmolive (India) Ltd.,COLPAL,Colgate Palmolive (India) Ltd.
Crompton Greaves Ltd.,CGPOWER,Crompton Greaves Ltd.
Federal Bank Ltd.,FEDERALBNK,Federal Bank Ltd.
Indiabulls Real Estate Ltd.,IBREALEST,Indiabulls Real Estate Ltd.
Raymond Ltd.,RAYMOND,Raymond Ltd.
